Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,08-04-2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Azerbaijan,AZE,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.309569219,1.150116895,1.016460669,1.368551661,1.731821187,8.55945903,13.77396721,7.729481744,3.899225068,2.812210783,3.301082299,4.345525061,4.951593404,7.067279517,2.097104231,3.912944162,4.172244876,2.910950881,
Burundi,BDI,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.308296619,1.457298325,3.492667709,3.195982557,1.663621512,25.93632548,0.470990948,0.120495502,0.250001784,1.117924092,1.30508367,,
Belgium,BEL,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.465838636,8.946949838,11.35754454,9.265230104,8.674838406,8.942000799,10.64061175,11.93935173,12.33517397,13.33124516,11.49179036,11.70586406,14.14401388,15.26186158,21.37996388,22.81791352,18.66682276,20.39214534,
Benin,BEN,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.275855655,4.135343881,1.625438077,1.244878302,4.670718405,2.842286786,1.48291432,1.84364943,2.698446899,4.287156206,4.41801514,30.53895843,
Burkina Faso,BFA,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.2007992,16.58322814,10.78721697,8.624837622,14.01696153,11.05877129,4.960277402,5.944967255,5.758531076,5.880928593,25.78715121,3.4012348,2.256539168,1.528998976,3.797846598,1.64548902,
Bangladesh,BGD,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.435480467,0.306260591,0.213025598,0.195064696,0.463362848,0.299089378,,0.307867105,0.242933626,0.426450633,0.539452074,,,,,,,
Bulgaria,BGR,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.293505581,6.973037603,8.666033283,8.404251577,7.815687938,8.047553928,8.294402193,7.578000868,8.450266713,8.986103053,9.636088545,10.37289026,10.85231018,11.30327258,10.92447357,10.38267754,12.05789442,13.42996837,
Bahrain,BHR,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.031213136,0.110260455,0.152292186,0.386615907,0.592038996,1.49913896,0.935614309,1.05834005,0.624948583,0.449030021,4.448498336,8.973661056,0.590590043,0.569959196,0.387343645,,
"Bahamas, The",BHS,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.271118397403E-05,0.001796119,0,0,0,0,0,2.104436658,7.802953484,1.966441851,1.205448766,3.044762603,0.261199966,0,0.013824765,0,
Bosnia and Herzegovina,BIH,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.507324519,3.540545081,2.833117981,3.271703368,2.617832063,2.40453152,2.495153151,2.963819947,2.734423809,5.443549338,5.254743019,5.26613569,4.614452474,5.316222002,5.224749178,4.967053666,6.163173571,
Belarus,BLR,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.434081276,3.151960934,3.058112421,2.56526353,2.837467803,4.604536191,4.169562891,4.479735581,4.875279753,4.60498281,4.283890659,4.497113096,5.098125922,6.015768464,,,,
Belize,BLZ,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.008498722,0,0,0,0,0,8.17033581469156E-05,0.066546021,0,0.938240934,0.191639909,0.000182432,0,0.000191088,
Bermuda,BMU,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.34846455,12.60000423,28.60412471,27.16155607,48.78536566,21.78901214,17.05594131,6.940526788,5.482394182,8.074360497,12.54029083,14.93728182,14.30074328,
Bolivia,BOL,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.632051477,4.357863035,4.866639568,8.396434267,13.2668527,9.223496529,9.364909775,8.057902583,6.402594479,4.459966573,5.871506761,5.048555728,3.45205028,4.325217851,4.548883143,5.517697487,8.165170226,8.793950834,
Brazil,BRA,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.62783569,12.76152696,14.75878205,12.59014687,11.14090814,11.88722129,11.9698618,12.37116887,14.48589962,16.00016428,14.31188922,14.74424183,14.06680521,11.35009427,9.0015542,9.11134628,9.84914935,11.11036442,
Barbados,BRB,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.69212972,20.30382213,17.15596635,17.01173931,18.43361349,19.92635576,
Brunei Darussalam,BRN,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.13034824,27.02643704,20.87048889,13.79283557,16.28734919,8.560459141,19.09193069,13.57667442,29.84947115,0.042429712,8.093970139,1.338957049,1.360917585,1.044259604,1.019250568,1.064334595,
Bhutan,BTN,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.751439729,0.126757285,0.215969979,0.13731061,8.75610659565705E-05,0.02303265,,,,1.603328997,0.486233814,0.094518901,0.058654072,0.08180809,,0.012217994,0.010726152,,
Botswana,BWA,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.399203014,0.257049739,0.6972176,0.424915581,0.957704009,0.611075284,0.365247159,0.405712803,0.330785941,0.502381294,0.539469031,,
Central African Republic,CAF,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.62927138,0.032534625,1.413306999,0.289135277,,5.268427891,11.77186175,22.07636162,29.01931806,95.61793507,0.670838356,7.66912447,37.29740468,1.878566968,8.299780422,
Canada,CAN,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.76969519,15.18304519,17.87270149,15.50054129,14.71264297,15.61869285,15.49413291,14.66645309,14.82867953,14.09961169,14.34880557,15.4222843,17.13092091,16.75870898,16.33762889,15.14897654,16.37179544,16.77790298,
Central Europe and the Baltics,CEB,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.98271528,11.34923972,12.93430347,13.2546131,12.95583515,12.62819855,12.46662415,12.62249691,13.14071855,13.11322137,12.94629875,13.05134686,13.15310585,13.73432373,12.72682189,14.02781945,14.27188283,15.88097722,
Switzerland,CHE,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.63737932,24.70465088,26.38238159,25.80901187,25.27353949,26.0587679,26.75106783,26.65872834,27.05151,27.33545717,14.02385686,13.31821693,12.90949367,12.84508671,14.23506327,29.9881398,29.3340287,29.62390152,
Channel Islands,CHI,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.821874911,6.559052056,6.605275311,6.239581866,5.120838175,5.436279356,6.694622315,7.091793651,6.722530526,8.424379559,7.106096475,6.911410994,7.632882021,15.97505834,12.44177486,6.936726841,10.71956334,8.316503075,
China,CHN,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.23749391,29.43193445,31.97757697,32.15011697,30.50047966,30.86180852,31.58558133,29.70372718,30.43126727,30.25452323,30.91186398,31.54814786,30.8186303,31.27661542,30.21907328,27.76506126,26.56821365,26.27773805,
Cote d'Ivoire,CIV,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.37777542,12.47406659,4.247840128,16.69300892,8.970499626,4.359296595,11.38867888,7.209722086,8.593672231,7.015540668,6.559992801,11.23151885,5.112940249,3.863366454,3.556570329,4.41310726,5.257594121,
Cameroon,CMR,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.204353022,6.841551246,4.857325353,5.618417735,6.017404018,7.025364115,5.119075846,3.083822424,2.15123167,3.28864706,2.103630292,,
"Congo, Dem. Rep.",COD,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.604479305,0.310225165,0.184343688,0.246252589,0.782215716,0.506820617,0.078234669,0.723158682,0.199611665,,
"Congo, Rep.",COG,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.090859863,0.92625389,1.159504105,2.006574111,2.524743618,6.342190695,4.549873278,6.537112475,4.327226542,3.159722346,,
Colombia,COL,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.065299821,4.015392091,5.554225954,5.362534596,4.679630344,5.677428915,7.768436633,8.119834963,9.84934562,10.18579578,8.962362764,7.221392514,9.048456162,9.913551572,8.209149609,8.401826372,8.599891598,9.024697049,
