ISO3,Country,M49_Region,M49_Subregion,WB_Region,U,Penetration_Year,Broadband_per100,Broadband_Year,HiTech_Pct,HiTech_Year,I_pen,I_bb,I_ht,EGDI,OSI,TII,p,F_egov,I_egov,I_health,I_education,I_income
SVN,Slovenia,Europe,Southern Europe,Europe & Central Asia,90.3779,2023,31.8815,2023,8.2035,2023,0.9038,0.6162,0.1282,0.8759,0.8640,0.9107,0.9038,0.0962,0.0467,0.9559,0.9129,0.9109
AZE,Azerbaijan,Asia,Western Asia,Europe & Central Asia,89.0000,2023,20.8825,2023,4.1722,2023,0.8900,0.4036,0.0652,0.7607,0.7386,0.8203,0.8900,0.1100,0.0817,0.8229,0.7049,0.7571
MNE,Montenegro,Europe,Southern Europe,Europe & Central Asia,88.5516,2023,32.0155,2023,7.9952,2023,0.8855,0.6188,0.1250,0.7211,0.5214,0.9229,0.8855,0.1145,0.4015,0.8745,0.8396,0.8182
ROU,Romania,Europe,Eastern Europe,Europe & Central Asia,89.2034,2023,34.6706,2023,12.6747,2023,0.8920,0.6701,0.1981,0.7636,0.6548,0.8922,0.8920,0.1080,0.2374,0.8326,0.7817,0.8696
CHN,China,Asia,Eastern Asia,East Asia & Pacific,90.6000,2023,44.7289,2023,26.5682,2023,0.9060,0.8645,0.4153,0.8718,0.9258,0.8995,0.9060,0.0940,0.0263,0.9013,0.6930,0.7846
URY,Uruguay,Americas,Latin America and the Caribbean,Latin America & Caribbean ,90.9259,2023,32.4032,2023,10.7072,2023,0.9093,0.6263,0.1674,0.9006,0.8832,0.9437,0.9093,0.0907,0.0605,0.8923,0.7839,0.8162
CAF,Central African Republic,Africa,Sub-Saharan Africa,Sub-Saharan Africa ,13.8417,2023,0.0161,2022,1.8786,2023,0.1384,0.0003,0.0294,0.0947,0.1128,0.0000,0.1384,0.8616,0.1128,0.5304,0.3342,0.3266
MKD,North Macedonia,Europe,Southern Europe,Europe & Central Asia,88.5000,2023,29.1772,2023,5.2297,2023,0.8850,0.5639,0.0817,0.7070,0.6642,0.7546,0.8850,0.1150,0.0904,0.8290,0.7022,0.7703
SUR,Suriname,Americas,Latin America and the Caribbean,Latin America & Caribbean ,87.4000,2023,17.5374,2023,3.2127,2023,0.8740,0.3390,0.0502,0.6366,0.4814,0.8714,0.8740,0.1260,0.3900,0.7737,0.5840,0.7270
CYP,Cyprus,Asia,Western Asia,Europe & Central Asia,91.2211,2023,36.9006,2023,18.7420,2023,0.9122,0.7132,0.2929,0.8619,0.8217,0.8941,0.9122,0.0878,0.0724,0.9521,0.8659,0.9056
DEU,Germany,Europe,Western Europe,Europe & Central Asia,92.4764,2023,45.3805,2023,17.7818,2023,0.9248,0.8771,0.2779,0.9382,0.9238,0.9236,0.9248,0.0752,0.0002,0.9383,0.9570,0.9541
MLT,Malta,Europe,Southern Europe,"Middle East, North Africa, Afghanistan & Pakistan",92.0727,2023,44.2825,2023,43.2693,2023,0.9207,0.8559,0.6763,0.8886,0.8749,0.9747,0.9207,0.0793,0.0998,0.9801,0.8476,0.9210
JAM,Jamaica,Americas,Latin America and the Caribbean,Latin America & Caribbean ,89.4730,2023,15.7852,2023,2.6470,2023,0.8947,0.3051,0.0414,0.6678,0.5677,0.7296,0.8947,0.1053,0.1619,0.7789,0.6544,0.6910
LVA,Latvia,Europe,Northern Europe,Europe & Central Asia,92.1879,2023,25.9948,2023,18.5544,2023,0.9219,0.5024,0.2900,0.8852,0.8092,0.9660,0.9219,0.0781,0.1568,0.8604,0.9043,0.8717
HUN,Hungary,Europe,Eastern Europe,Europe & Central Asia,91.4501,2023,36.7902,2023,18.8625,2023,0.9145,0.7111,0.2948,0.8043,0.7144,0.8282,0.9145,0.0855,0.1138,0.8455,0.8270,0.8814
EST,Estonia,Europe,Northern Europe,Europe & Central Asia,93.1834,2023,35.2540,2023,16.5812,2023,0.9318,0.6814,0.2592,0.9727,0.9954,0.9731,0.9318,0.0682,0.0223,0.9101,0.8945,0.8939
RUS,Russian Federation,Europe,Eastern Europe,Europe & Central Asia,92.2450,2023,25.8239,2023,9.7298,2021,0.9224,0.4991,0.1521,0.8533,0.7766,0.9512,0.9224,0.0776,0.1746,0.7710,0.8488,0.8456
KGZ,Kyrgyzstan,Asia,Central Asia,Europe & Central Asia,91.0444,2023,6.4465,2023,16.3335,2023,0.9104,0.1246,0.2553,0.7316,0.6072,0.8815,0.9104,0.0896,0.2743,0.7767,0.7597,0.5842
BTN,Bhutan,Asia,Southern Asia,South Asia,90.0214,2023,1.3188,2023,0.0107,2023,0.9002,0.0255,0.0002,0.6511,0.5886,0.8170,0.9002,0.0998,0.2284,0.8035,0.5574,0.7048
KAZ,Kazakhstan,Asia,Central Asia,Europe & Central Asia,92.8785,2023,14.3457,2023,34.4293,2023,0.9288,0.2773,0.5381,0.9009,0.9390,0.9235,0.9288,0.0712,0.0155,0.7614,0.8260,0.8187
BLR,Belarus,Europe,Eastern Europe,Europe & Central Asia,91.5125,2023,35.0932,2023,6.0158,2021,0.9151,0.6783,0.0940,0.7445,0.5760,0.9156,0.9151,0.0849,0.3396,0.8192,0.7964,0.7880
FIN,Finland,Europe,Northern Europe,Europe & Central Asia,93.5139,2023,35.3318,2023,9.7140,2023,0.9351,0.6829,0.1518,0.9575,0.9097,0.9791,0.9351,0.0649,0.0694,0.9592,0.9310,0.9373
NZL,New Zealand,Oceania,Australia and New Zealand,East Asia & Pacific,93.3261,2023,37.8531,2023,12.6495,2023,0.9333,0.7316,0.1977,0.9265,0.9453,0.8728,0.9333,0.0667,0.0725,0.9693,0.9315,0.9183
MAR,Morocco,Africa,Northern Africa,"Middle East, North Africa, Afghanistan & Pakistan",91.0000,2023,7.0218,2023,5.4307,2023,0.9100,0.1357,0.0849,0.6841,0.5618,0.8827,0.9100,0.0900,0.3209,0.8457,0.6071,0.6611
USA,United States of America,Americas,Northern America,North America,93.5256,2023,38.0939,2023,21.8460,2023,0.9353,0.7363,0.3415,0.9195,0.9136,0.9605,0.9353,0.0647,0.0469,0.8954,0.9084,0.9797
SGP,Singapore,Asia,South-eastern Asia,East Asia & Pacific,94.2852,2023,27.4344,2023,56.1384,2023,0.9429,0.5302,0.8775,0.9691,0.9831,0.9881,0.9429,0.0571,0.0050,0.9867,0.8670,1.0000
KIR,Kiribati,Oceania,Micronesia,East Asia & Pacific,88.0000,2023,0.0400,2023,2.2969,2021,0.8800,0.0008,0.0359,0.4572,0.3904,0.3544,0.8800,0.1200,0.0360,0.7332,0.6321,0.5345
BHS,Bahamas,Americas,Latin America and the Caribbean,Latin America & Caribbean ,92.3873,2023,23.8163,2023,0.0138,2023,0.9239,0.4603,0.0002,0.7143,0.5402,0.8652,0.9239,0.0761,0.3250,0.8363,0.7547,0.8738
JOR,Jordan,Asia,Western Asia,"Middle East, North Africa, Afghanistan & Pakistan",92.5344,2023,7.0375,2023,2.0842,2023,0.9253,0.1360,0.0326,0.6849,0.7591,0.6499,0.9253,0.0747,0.1092,0.8341,0.6990,0.6846
CAN,Canada,Americas,Northern America,North America,94.1453,2023,42.5242,2023,16.3718,2023,0.9415,0.8219,0.2559,0.8452,0.8552,0.8078,0.9415,0.0585,0.0474,0.9669,0.9056,0.9340
CHL,Chile,Americas,Latin America and the Caribbean,Latin America & Caribbean ,94.4574,2023,22.9954,2023,10.7196,2023,0.9446,0.4444,0.1676,0.8827,0.8612,0.9455,0.9446,0.0554,0.0843,0.9157,0.8362,0.8306
BEL,Belgium,Europe,Western Europe,Europe & Central Asia,94.6263,2023,43.7026,2023,18.6668,2023,0.9463,0.8447,0.2918,0.8121,0.7224,0.8698,0.9463,0.0537,0.1474,0.9584,0.9176,0.9494
GBR,United Kingdom of Great Britain and Northern Ireland,Europe,Northern Europe,Europe & Central Asia,95.4472,2023,41.4368,2023,28.8917,2023,0.9545,0.8009,0.4516,0.9577,0.9535,0.9747,0.9545,0.0455,0.0212,0.9562,0.9367,0.9282
AUT,Austria,Europe,Western Europe,Europe & Central Asia,95.3347,2023,29.3725,2023,15.9233,2023,0.9533,0.5677,0.2489,0.9065,0.8383,0.9810,0.9533,0.0467,0.1427,0.9602,0.8648,0.9573
ESP,Spain,Europe,Southern Europe,Europe & Central Asia,95.4456,2023,37.2148,2023,9.5625,2023,0.9545,0.7193,0.1495,0.9206,0.9054,0.9603,0.9545,0.0455,0.0549,0.9833,0.8482,0.9052
OMN,Oman,Asia,Western Asia,"Middle East, North Africa, Afghanistan & Pakistan",95.2517,2023,10.8793,2023,5.0054,2023,0.9525,0.2103,0.0782,0.8576,0.8077,0.9674,0.9525,0.0475,0.1597,0.8298,0.7565,0.8758
SWE,Sweden,Europe,Northern Europe,Europe & Central Asia,95.7033,2023,40.7340,2023,17.6239,2023,0.9570,0.7873,0.2755,0.9326,0.8836,0.9868,0.9570,0.0430,0.1032,0.9770,0.9225,0.9585
AND,Andorra,Europe,Southern Europe,Europe & Central Asia,94.2150,2023,51.7401,2023,21.4346,2023,0.9421,1.0000,0.3350,0.6893,0.4780,0.9231,0.9421,0.0579,0.4451,0.9777,0.7422,0.9510
AUS,Australia,Oceania,Australia and New Zealand,East Asia & Pacific,96.1161,2023,36.6274,2023,25.2583,2023,0.9612,0.7079,0.3948,0.9577,0.9222,0.9509,0.9612,0.0388,0.0287,0.9781,0.9242,0.9365
IRL,Ireland,Europe,Northern Europe,Europe & Central Asia,96.8661,2023,31.8908,2023,47.7738,2023,0.9687,0.6164,0.7467,0.9138,0.8768,0.9599,0.9687,0.0313,0.0831,0.9649,0.8886,1.0000
NLD,Netherlands,Europe,Western Europe,Europe & Central Asia,97.0068,2023,43.2644,2023,24.5106,2023,0.9701,0.8362,0.3831,0.9538,0.9212,0.9715,0.9701,0.0299,0.0503,0.9608,0.9194,0.9593
KOR,Republic of Korea,Asia,Eastern Asia,East Asia & Pacific,97.4160,2023,46.5676,2023,30.2763,2023,0.9742,0.9000,0.4732,0.9679,1.0000,0.9917,0.9742,0.0258,0.0083,0.9850,0.8791,0.9262
CHE,Switzerland,Europe,Western Europe,Europe & Central Asia,97.3444,2023,46.8365,2023,29.3340,2023,0.9734,0.9052,0.4585,0.9004,0.8408,0.9576,0.9734,0.0266,0.1168,0.9885,0.9241,0.9883
ISL,Iceland,Europe,Northern Europe,Europe & Central Asia,97.9486,2023,37.4246,2023,43.4245,2023,0.9795,0.7233,0.6787,0.9671,0.9076,0.9983,0.9795,0.0205,0.0907,0.9664,0.9589,0.9523
MYS,Malaysia,Asia,South-eastern Asia,East Asia & Pacific,97.6927,2023,13.0287,2023,59.4155,2023,0.9769,0.2518,0.9287,0.8111,0.7280,0.9862,0.9769,0.0231,0.2582,0.8655,0.7175,0.8473
QAT,Qatar,Asia,Western Asia,"Middle East, North Africa, Afghanistan & Pakistan",98.1523,2023,11.6411,2023,2.7800,2023,0.9815,0.2250,0.0435,0.8244,0.7655,0.9963,0.9815,0.0185,0.2308,0.9471,0.7062,1.0000
DNK,Denmark,Europe,Northern Europe,Europe & Central Asia,98.7756,2023,44.0352,2023,17.1322,2023,0.9878,0.8511,0.2678,0.9847,0.9992,0.9966,0.9878,0.0122,0.0026,0.9520,0.9320,0.9713
NOR,Norway,Europe,Northern Europe,Europe & Central Asia,99.0000,2023,45.4377,2023,25.6746,2023,0.9900,0.8782,0.4013,0.9315,0.9117,0.9654,0.9900,0.0100,0.0537,0.9753,0.9354,0.9878
BRN,Brunei Darussalam,Asia,South-eastern Asia,East Asia & Pacific,98.9704,2023,20.2120,2023,1.0193,2023,0.9897,0.3906,0.0159,0.7554,0.5802,0.9868,0.9897,0.0103,0.4066,0.8392,0.6879,0.9644
LUX,Luxembourg,Europe,Western Europe,Europe & Central Asia,99.3479,2023,38.3793,2023,5.9793,2023,0.9935,0.7418,0.0935,0.8466,0.7555,0.9888,0.9935,0.0065,0.2333,0.9629,0.8264,1.0000
KWT,Kuwait,Asia,Western Asia,"Middle East, North Africa, Afghanistan & Pakistan",99.7473,2023,1.0137,2023,1.7850,2023,0.9975,0.0196,0.0279,0.7812,0.6366,0.9988,0.9975,0.0025,0.3622,0.9271,0.6839,0.9578
BHR,Bahrain,Asia,Western Asia,"Middle East, North Africa, Afghanistan & Pakistan",100.0000,2023,17.1582,2023,0.3873,2023,1.0000,0.3316,0.0061,0.9196,0.9031,0.9877,1.0000,0.0000,0.0846,0.9115,0.8210,0.9349
SAU,Saudi Arabia,Asia,Western Asia,"Middle East, North Africa, Afghanistan & Pakistan",100.0000,2023,43.5732,2023,0.5906,2023,1.0000,0.8422,0.0092,0.9602,0.9900,0.9841,1.0000,0.0000,0.0059,0.8908,0.7985,0.9406
ARE,United Arab Emirates,Asia,Western Asia,"Middle East, North Africa, Afghanistan & Pakistan",100.0000,2023,37.0968,2023,8.9603,2023,1.0000,0.7170,0.1401,0.9533,0.9163,1.0000,1.0000,0.0000,0.0837,0.9107,0.9038,0.9982
