ISO3,Country,M49_Region,M49_Subregion,WB_Region,U,Penetration_Year,Broadband_per100,Broadband_Year,HiTech_Pct,HiTech_Year,I_pen,I_bb,I_ht,EGDI,OSI,TII,p,F_egov,I_egov,I_health,I_education,I_income
TGO,Togo,Africa,Sub-Saharan Africa,Sub-Saharan Africa ,37.5702,2023,1.2282,2023,0.5736,2023,0.3757,0.0237,0.0090,0.3920,0.4472,0.2474,0.3757,0.6243,0.1998,0.6398,0.5464,0.4679
SWZ,Eswatini,Africa,Sub-Saharan Africa,Sub-Saharan Africa ,61.3333,2023,2.7637,2023,0.2853,2023,0.6133,0.0534,0.0045,0.6081,0.4557,0.7851,0.6133,0.3867,0.3294,0.5594,0.6056,0.6692
BDI,Burundi,Africa,Sub-Saharan Africa,Sub-Saharan Africa ,7.1723,2023,0.0203,2023,1.3051,2023,0.0717,0.0004,0.0204,0.2481,0.3146,0.0331,0.0717,0.9283,0.2815,0.6458,0.3870,0.2965
PAN,Panama,Americas,Latin America and the Caribbean,Latin America & Caribbean ,68.5485,2023,18.1341,2023,1.0005,2023,0.6855,0.3505,0.0156,0.7298,0.6505,0.8523,0.6855,0.3145,0.2018,0.8742,0.7233,0.8715
MOZ,Mozambique,Africa,Sub-Saharan Africa,Sub-Saharan Africa ,19.9456,2023,0.1490,2023,2.7424,2023,0.1995,0.0029,0.0429,0.2848,0.3959,0.0632,0.1995,0.8005,0.3327,0.6096,0.4266,0.3778
SLV,El Salvador,Americas,Latin America and the Caribbean,Latin America & Caribbean ,62.6199,2023,11.6272,2023,6.4040,2023,0.6262,0.2247,0.1001,0.5988,0.5090,0.7526,0.6262,0.3738,0.2436,0.7919,0.5692,0.6778
COD,Democratic Republic of the Congo,Africa,Sub-Saharan Africa,Sub-Saharan Africa ,18.9679,2023,0.0220,2023,0.1996,2023,0.1897,0.0004,0.0031,0.2715,0.2067,0.1591,0.1897,0.8103,0.0476,0.6114,0.5063,0.3595
TUN,Tunisia,Africa,Northern Africa,"Middle East, North Africa, Afghanistan & Pakistan",68.3155,2021,14.0830,2023,7.7011,2023,0.6832,0.2722,0.1204,0.6935,0.5951,0.8357,0.6832,0.3168,0.2406,0.8348,0.6712,0.7001
NAM,Namibia,Africa,Sub-Saharan Africa,Sub-Saharan Africa ,63.6955,2023,3.5201,2023,0.0810,2023,0.6370,0.0680,0.0013,0.6007,0.4996,0.7288,0.6370,0.3630,0.2292,0.5855,0.5681,0.6830
BFA,Burkina Faso,Africa,Sub-Saharan Africa,Sub-Saharan Africa ,25.3612,2023,0.4595,2023,3.7978,2023,0.2536,0.0089,0.0594,0.2895,0.3376,0.3640,0.2536,0.7464,0.0264,0.6118,0.3021,0.4553
ECU,Ecuador,Americas,Latin America and the Caribbean,Latin America & Caribbean ,72.6943,2023,16.0679,2023,7.2742,2023,0.7269,0.3106,0.1137,0.7800,0.8851,0.6834,0.7269,0.2731,0.2017,0.8907,0.7119,0.7058
NIC,Nicaragua,Americas,Latin America and the Caribbean,Latin America & Caribbean ,60.3012,2023,5.4303,2023,0.8047,2023,0.6030,0.1050,0.0126,0.5318,0.4493,0.5851,0.6030,0.3970,0.1358,0.8402,0.5915,0.6033
SEN,Senegal,Africa,Sub-Saharan Africa,Sub-Saharan Africa ,59.1874,2023,1.9739,2023,1.6047,2023,0.5919,0.0382,0.0251,0.5163,0.4779,0.7329,0.5919,0.4081,0.2550,0.7371,0.3503,0.5355
LSO,Lesotho,Africa,Sub-Saharan Africa,Sub-Saharan Africa ,48.9859,2023,0.3837,2023,0.0743,2023,0.4899,0.0074,0.0012,0.4123,0.2864,0.4643,0.4899,0.5101,0.1779,0.5082,0.5590,0.4983
