ISO3,Country,I_digital_A,HDIN_A,Rank_A,I_digital_B,HDIN_B,Rank_B,I_digital_C,HDIN_C,Rank_C,HDI_Standard,Rank_Standard
BRA,Brazil,0.4464,0.6652,61,0.4348,0.6608,60,0.4688,0.6734,59,0.7600,89
OMN,Oman,0.3364,0.6558,62,0.3220,0.6487,62,0.3430,0.6590,65,0.8190,59
MKD,North Macedonia,0.3997,0.6507,63,0.3904,0.6468,63,0.4295,0.6624,62,0.7650,83
PHL,Philippines,0.4916,0.6475,64,0.4853,0.6454,64,0.5346,0.6612,63,0.7100,113
BIH,Bosnia and Herzegovina,0.3702,0.6468,65,0.3415,0.6339,66,0.4015,0.6601,64,0.7790,80
GEO,Georgia (Country),0.3209,0.6452,66,0.2890,0.6285,67,0.3344,0.6519,66,0.8140,60
COL,Colombia,0.3790,0.6373,67,0.3737,0.6351,65,0.4109,0.6503,68,0.7580,91
VCT,Saint Vincent and the Grenadines,0.3514,0.6342,68,0.3230,0.6210,70,0.3917,0.6516,67,0.7720,81
UKR,Ukraine,0.3993,0.6306,69,0.3842,0.6246,69,0.4163,0.6373,74,0.7340,100
AZE,Azerbaijan,0.3549,0.6283,70,0.3474,0.6250,68,0.3763,0.6376,73,0.7600,89
ECU,Ecuador,0.3473,0.6279,71,0.3283,0.6191,71,0.3748,0.6399,72,0.7650,83
GUY,Guyana,0.3809,0.6279,72,0.3422,0.6113,75,0.4240,0.6449,69,0.7420,95
GRD,Grenada,0.3029,0.6234,73,0.2890,0.6161,72,0.3413,0.6423,70,0.7930,73
BRN,Brunei Darussalam,0.2605,0.6171,74,0.2286,0.5973,81,0.2632,0.6187,78,0.8230,55
BHR,Bahrain,0.2073,0.6171,75,0.2028,0.6137,73,0.2087,0.6182,79,0.8880,34
DOM,Dominican Republic,0.3205,0.6158,76,0.3118,0.6116,74,0.3459,0.6277,75,0.7660,82
PRY,Paraguay,0.3619,0.6130,77,0.3502,0.6080,76,0.3938,0.6261,76,0.7310,102
TON,Tonga,0.3495,0.6128,78,0.3350,0.6063,78,0.4164,0.6402,71,0.7390,98
MDA,Republic of Moldova,0.3143,0.6113,79,0.3073,0.6079,77,0.3409,0.6238,77,0.7630,86
UZB,Uzbekistan,0.3576,0.6091,80,0.3472,0.6046,79,0.3748,0.6163,80,0.7270,106
PER,Peru,0.2997,0.6032,81,0.2996,0.6032,80,0.3231,0.6147,81,0.7620,87
KGZ,Kyrgyzstan,0.3727,0.5987,82,0.3440,0.5868,82,0.3888,0.6051,84,0.7010,117
MUS,Mauritius,0.2501,0.5962,83,0.2266,0.5817,84,0.2639,0.6042,85,0.7960,72
TUN,Tunisia,0.3209,0.5956,84,0.2996,0.5855,83,0.3553,0.6110,82,0.7320,101
LCA,Saint Lucia,0.3092,0.5857,85,0.2801,0.5714,88,0.3563,0.6068,83,0.7250,108
DMA,Dominica,0.2844,0.5828,86,0.2605,0.5702,89,0.3175,0.5990,86,0.7400,97
PAN,Panama,0.2082,0.5820,87,0.1968,0.5739,86,0.2295,0.5963,87,0.8200,57
ALB,Albania,0.2250,0.5767,88,0.2228,0.5752,85,0.2403,0.5862,89,0.7890,74
BOL,Bolivia,0.3234,0.5761,89,0.3141,0.5719,87,0.3584,0.5911,88,0.6980,120
JAM,Jamaica,0.2866,0.5637,90,0.2742,0.5575,90,0.3083,0.5741,90,0.7060,115
SUR,Suriname,0.3016,0.5610,91,0.2666,0.5440,95,0.3202,0.5695,93,0.6900,124
IDN,Indonesia,0.2667,0.5573,92,0.2625,0.5552,92,0.2934,0.5708,92,0.7130,112
MAR,Morocco,0.2842,0.5573,93,0.2580,0.5440,94,0.2985,0.5642,96,0.6980,120
EGY,Egypt,0.2484,0.5564,94,0.2481,0.5562,91,0.2801,0.5733,91,0.7280,105
TTO,Trinidad and Tobago,0.1707,0.5508,95,0.1627,0.5442,93,0.1846,0.5616,97,0.8140,60
LBN,Lebanon,0.2423,0.5503,96,0.2296,0.5429,97,0.2735,0.5672,95,0.7230,109
IRN,Iran (Islamic Republic of),0.1920,0.5496,97,0.1597,0.5249,102,0.2008,0.5558,99,0.7800,78
CUB,Cuba,0.2025,0.5481,98,0.1851,0.5359,99,0.2358,0.5693,94,0.7640,85
JOR,Jordan,0.2258,0.5479,99,0.2193,0.5440,96,0.2418,0.5574,98,0.7360,99
KWT,Kuwait,0.1436,0.5434,100,0.1283,0.5283,100,0.1448,0.5445,103,0.8470,49
ZAF,South Africa,0.2279,0.5383,101,0.2274,0.5380,98,0.2434,0.5473,101,0.7170,110
SLV,El Salvador,0.2696,0.5357,102,0.2514,0.5264,101,0.3106,0.5550,100,0.6740,127
LKA,Sri Lanka,0.1600,0.5248,103,0.1492,0.5157,103,0.1876,0.5461,102,0.7800,78
MDV,Maldives,0.1506,0.5080,104,0.1439,0.5022,104,0.1631,0.5182,104,0.7620,87
IND,India,0.2341,0.5003,105,0.2180,0.4914,105,0.2663,0.5167,105,0.6440,134
SYC,Seychelles,0.1156,0.4941,106,0.1006,0.4772,106,0.1212,0.5000,108,0.8020,67
STP,Sao Tome and Principe,0.2394,0.4847,107,0.2214,0.4753,107,0.2950,0.5107,106,0.6130,141
KHM,Cambodia,0.2500,0.4818,108,0.2278,0.4707,110,0.2830,0.4969,109,0.6000,148
FJI,Fiji,0.1356,0.4786,109,0.1275,0.4714,109,0.1491,0.4902,111,0.7290,104
TJK,Tajikistan,0.1655,0.4771,110,0.1597,0.4728,108,0.2005,0.5005,107,0.6790,126
GAB,Gabon,0.1544,0.4760,111,0.1293,0.4554,114,0.1705,0.4880,112,0.6930,123
GTM,Guatemala,0.2012,0.4728,112,0.1976,0.4707,111,0.2428,0.4955,110,0.6290,136
CPV,Cabo Verde,0.1719,0.4718,113,0.1685,0.4695,112,0.1946,0.4867,113,0.6610,131
BHS,Bahamas,0.0882,0.4696,114,0.0800,0.4582,113,0.0917,0.4742,115,0.8200,57
LAO,Lao People's Democratic Republic,0.1827,0.4568,115,0.1724,0.4502,115,0.2226,0.4799,114,0.6200,139
BWA,Botswana,0.1198,0.4540,116,0.1024,0.4365,118,0.1352,0.4680,117,0.7080,114
