Ranking,Country,Shadow Economy,Shadow Economy Value,GDP 2023
,,% of GDP in 2023,(B),(B)
97,🇮🇹 Italy,7.8,$179.5,"$2,300.9"
98,🇮🇸 Iceland,7.6,$2.4,$31.3
99,🇰🇷 Korea,7.6,$130.2,"$1,712.8"
100,🇲🇹 Malta,7.5,$1.7,$22.3
101,🇪🇸 Spain,7.5,$121.5,"$1,620.1"
102,🇪🇪 Estonia,7.4,$3.1,$41.3
103,🇱🇹 Lithuania,7.4,$5.9,$79.8
104,🇩🇪 Germany,6.8,$307.7,"$4,525.7"
105,🇫🇷 France,6.7,$204.5,"$3,051.8"
106,🇯🇵 Japan,6.7,$281.7,"$4,204.5"
107,🇸🇪 Sweden,6.7,$39.2,$585.0
108,🇦🇹 Austria,6.6,$33.8,$511.7
109,🇧🇪 Belgium,6.6,$42.6,$644.8
110,🇫🇮 Finland,6.6,$19.5,$295.5
111,🇨🇿 Czechia,6.5,$22.3,$343.2
112,🇳🇴 Norway,6.4,$31.1,$485.3
113,🇴🇲 Oman,6.4,$7.0,$108.8
114,🇳🇱 Netherlands,6.3,$72.7,"$1,154.4"
115,🇱🇺 Luxembourg,6.1,$5.2,$85.8
116,🇩🇰 Denmark,5.9,$24.0,$407.1
117,🇦🇺 Australia,5.7,$98.5,"$1,728.1"
118,🇮🇱 Israel,5.5,$28.2,$513.6
119,🇧🇸 Bahamas,5.4,$0.8,$14.3
120,🇨🇾 Cyprus,5.3,$1.8,$33.9
121,🇬🇧 UK,5.3,$179.2,"$3,380.9"
122,🇸🇦 Saudi Arabia,5.2,$55.5,"$1,067.6"
123,🇮🇪 Ireland,5.1,$28.1,$551.4
124,🇨🇭 Switzerland,5.1,$45.1,$884.9
125,🇺🇸 United States,5,"$1,386.0","$27,720.7"
126,🇨🇦 Canada,4.5,$96.4,"$2,142.5"
127,🇰🇼 Kuwait,4,$6.5,$163.7
128,🇸🇬 Singapore,3.4,$17.0,$501.4
129,🇧🇭 Bahrain,2.5,$1.2,$46.1
130,🇶🇦 Qatar,2.2,$4.7,$213.0
131,🏳️ UAE,2.1,$10.8,$514.1
