ISO3,Country,M49_Region,M49_Subregion,WB_Region,Global_North_South,EGDI,OSI,TII,HCI,Penetration_Pct,Penetration_Year,p,Broadband_per100,Broadband_Year,HiTech_Pct,HiTech_Year,I_pen,I_bb,I_ht,T_adj_EGDI,T_adj_OSI,Phi_EGDI,Phi_OSI,R_facade,I_egov,Signed_Div,I_health,I_education,I_income,HDI_Standard,Rank_Standard,Tier_I,Tier_II,Tier_III,Exclusion_Reason,I_bb_T2,I_digital_T2,HDIN_T2,Rank_T2,I_digital_A,HDIN_A,Rank_A,I_digital_B,HDIN_B,Rank_B,I_digital_C,HDIN_C,Rank_C
MWI,Malawi,Africa,Sub-Saharan Africa,Sub-Saharan Africa ,South,0.3753,0.4625,0.1886,0.4749,17.98810346,2023,0.17988103460000002,0.0796,2023,5.3106,2023,0.17988103460000002,0.0015,0.0830,0.06750935228538,0.08319497850250002,0.30779064771462,0.3793050214975,5.559229755508644,0.27390000000000003,0.27390000000000003,0.6600,0.4944,0.4021,0.5080,172,1,1,1,,0.0015384585650201682,0.026534548808615631,0.24290812657026201,169,0.0353,0.2609,148,0.0326,0.2557,148,0.0560,0.2927,148
NGA,Nigeria,Africa,Sub-Saharan Africa,Sub-Saharan Africa ,South,0.4815,0.5372,0.4836,0.4236,40.06399918,2023,0.40063999180000004,0.0513,2023,3.5304,2023,0.40063999180000004,0.0010,0.0552,0.1929081560517,0.21522380359496002,0.28859184394829995,0.32197619640503994,2.4960064408627516,0.053600000000000037,0.053600000000000037,0.5174,0.5449,0.5833,0.5480,161,1,1,1,,0.00099149402494390229,0.042474831350104943,0.28909575719903008,160,0.0453,0.2939,142,0.0447,0.2929,142,0.0605,0.3158,145
ZWE,Zimbabwe,Africa,Sub-Saharan Africa,Sub-Saharan Africa ,South,0.4481,0.41,0.3947,0.5395,38.67480087,2023,0.3867480087,1.5746,2023,1.9422,2023,0.3867480087,0.0304,0.0304,0.17330178269847,0.158566683567,0.27479821730153003,0.25143331643300004,2.5856629575453067,0.01529999999999998,0.01529999999999998,0.6060,0.5999,0.4584,0.5500,159,1,1,1,,0.030432875081416542,0.1268210564369652,0.3812824936910934,144,0.0887,0.3487,131,0.0884,0.3484,130,0.1213,0.3771,129
MMR,Myanmar,Asia,South-eastern Asia,East Asia & Pacific,South,0.5001,0.3259,0.6662,0.5081,45.4477005,2020,0.45447700500000004,2.7983,2023,2.9463,2023,0.45447700500000004,0.0541,0.0461,0.22728395020050002,0.14811405592950003,0.2728160497995,0.17778594407050002,2.200331345697017,0.3403,-0.3403,0.7270,0.5523,0.5586,0.6080,144,1,1,1,,0.054083776413265533,0.17743906102647491,0.4466474964408565,138,0.1266,0.4105,119,0.1141,0.4000,119,0.1571,0.4333,119
GIN,Guinea,Africa,Sub-Saharan Africa,Sub-Saharan Africa ,South,0.4006,0.4808,0.4323,0.2887,32.31560135,2023,0.3231560135,0.0063,2022,,,0.3231560135,,,0.12945629900810002,0.1553734112908,0.2711437009919,0.3254265887092,3.0944805549781296,0.04849999999999999,0.04849999999999999,0.5998,0.3620,0.4803,0.4710,181,1,1,0,HiTech_Pct missing or non-positive,0.00012176242411591783,0.017206118312502919,0.20581528788687498,177,,,,,,,,,
IND,India,Asia,Southern Asia,South Asia,South,0.6678,0.8184,0.57,0.6149,60.25230026,2023,0.6025230026,2.7453,2023,14.9343,2023,0.6025230026,0.0531,0.2334,0.40236486113628,0.49310482532784,0.26543513886371994,0.32529517467216,1.6596876728105185,0.24840000000000007,0.24840000000000007,0.7345,0.5686,0.6407,0.6440,134,1,1,1,,0.053059425861179239,0.2343070780388587,0.50039123850575962,129,0.2341,0.5003,105,0.2180,0.4914,105,0.2663,0.5167,105
MDG,Madagascar,Africa,Sub-Saharan Africa,Sub-Saharan Africa ,South,0.3235,0.4045,0.1518,0.4141,18.24080086,2023,0.1824080086,0.1245,2023,0.4781,2023,0.1824080086,0.0024,0.0075,0.0590089907821,0.0737840394787,0.26449100921790003,0.33071596052130003,5.482215433823885,0.25270000000000004,0.25270000000000004,0.6958,0.4090,0.4054,0.4870,177,1,1,1,,0.0024062574289574236,0.029587031375147649,0.24171200300196924,170,0.0210,0.2218,154,0.0195,0.2178,154,0.0342,0.2507,154
SLB,Solomon Islands,Oceania,Melanesia,East Asia & Pacific,South,0.3681,0.497,0.1811,0.4262,28.67239952,2023,0.28672399519999997,0.1070,2022,,,0.28672399519999997,,,0.10554310263311999,0.14250182561439997,0.26255689736688,0.3544981743856,3.487674616498229,0.31589999999999996,0.31589999999999996,0.7806,0.4821,0.4719,0.5620,156,1,1,0,HiTech_Pct missing or non-positive,0.0020680284730798743,0.039702403920630736,0.28977313195758037,159,,,,,,,,,
TLS,Timor-Leste,Asia,South-eastern Asia,East Asia & Pacific,South,0.4020,0.3406,0.3551,0.5104,35.04199982,2021,0.3504199982,0.0058,2023,1.5261,2023,0.3504199982,0.0001,0.0239,0.1408688392764,0.11935305138692001,0.2611311607236,0.22124694861308,2.85371840972745,0.014500000000000013,-0.014500000000000013,0.7547,0.5685,0.4215,0.5660,155,1,1,1,,0.00011209873966227355,0.017687570463170953,0.23781686252473358,171,0.0191,0.2423,151,0.0190,0.2421,151,0.0271,0.2647,153
AGO,Angola,Africa,Sub-Saharan Africa,Sub-Saharan Africa ,South,0.4149,0.3962,0.3724,0.476,37.88589859,2023,0.37885898589999994,0.3737,2023,23.4714,2023,0.37885898589999994,0.0072,0.3669,0.15718859324990997,0.15010393021357998,0.25771140675009,0.24609606978641999,2.6395045048870784,0.023799999999999988,0.023799999999999988,0.6451,0.5328,0.6005,0.5910,150,1,1,1,,0.0072226377606537289,0.075485722803958183,0.35329888916141911,150,0.1121,0.3900,122,0.1114,0.3894,121,0.1560,0.4236,121
BWA,Botswana,Africa,Sub-Saharan Africa,Sub-Saharan Africa ,South,0.6118,0.3985,0.865,0.5719,57.9,2022,0.579,6.1650,2023,0.5395,2023,0.579,0.1192,0.0084,0.3542322,0.2307315,0.2575678,0.16776850000000001,1.7271157167530227,0.46649999999999997,-0.46649999999999997,0.7064,0.6647,0.7553,0.7080,114,1,1,1,,0.11915322931343388,0.29019558828082248,0.56639793974255181,120,0.1198,0.4540,116,0.1024,0.4365,118,0.1352,0.4680,117
TJK,Tajikistan,Asia,Central Asia,Europe & Central Asia,South,0.5606,0.4476,0.581,0.6531,54.41550064,2023,0.5441550064,0.9839,2023,15.2078,2023,0.5441550064,0.0190,0.2377,0.30505329658784003,0.24356378086464,0.25554670341215996,0.20403621913536,1.837711659800324,0.13339999999999996,-0.13339999999999996,0.7890,0.6780,0.5850,0.6790,126,1,1,1,,0.019016198267881198,0.14669231066111935,0.46287900012057626,135,0.1655,0.4771,110,0.1597,0.4728,108,0.2005,0.5005,107
PNG,Papua New Guinea,Oceania,Melanesia,East Asia & Pacific,South,0.3076,0.3392,0.1851,0.3984,18.56130028,2023,0.1856130028,0.2281,2023,10.2481,2023,0.1856130028,0.0044,0.1602,0.05709455966128,0.06295993054976,0.25050544033871996,0.27624006945024,5.387553592231416,0.15410000000000001,0.15410000000000001,0.7070,0.4735,0.5459,0.5680,154,1,1,1,,0.004408572847752517,0.036016406720485991,0.28483163207399992,162,0.0523,0.3127,139,0.0502,0.3094,137,0.0875,0.3556,134
GTM,Guatemala,Americas,Latin America and the Caribbean,Latin America & Caribbean ,South,0.5738,0.6538,0.5843,0.4834,56.72669983,2023,0.5672669983,5.0808,2023,5.7766,2023,0.5672669983,0.0982,0.0903,0.32549780362454,0.37087916348854005,0.24830219637545997,0.28292083651146,1.7628383159902217,0.0695,0.0695,0.7488,0.4880,0.6797,0.6290,136,1,1,1,,0.098198495944151629,0.26271213808957505,0.50541225310582372,127,0.2012,0.4728,112,0.1976,0.4707,111,0.2428,0.4955,110
CMR,Cameroon,Africa,Sub-Saharan Africa,Sub-Saharan Africa ,South,0.4294,0.3989,0.37,0.5193,42.24380112,2023,0.4224380112,2.1286,2022,2.1036,2023,0.4224380112,0.0411,0.0329,0.18139488200928,0.16851052266768,0.24800511799072,0.23038947733232,2.3672112203145415,0.02889999999999998,0.02889999999999998,0.6301,0.5896,0.5447,0.5870,151,1,1,1,,0.041140237456054392,0.1466284591988061,0.41503588661544288,141,0.1009,0.3780,124,0.1002,0.3773,124,0.1365,0.4077,124
ETH,Ethiopia,Africa,Sub-Saharan Africa,Sub-Saharan Africa ,South,0.3111,0.342,0.2659,0.3254,20.33749962,2023,0.2033749962,0.5348,2023,3.7506,2023,0.2033749962,0.0103,0.0586,0.06326996131781999,0.0695542487004,0.24783003868217998,0.2724457512996,4.9170252916272705,0.0761,0.0761,0.7022,0.3558,0.4781,0.4920,176,1,1,1,,0.010336276891617913,0.051044985783946964,0.27943747602020225,164,0.0528,0.2819,145,0.0518,0.2805,145,0.0877,0.3199,143
IDN,Indonesia,Asia,South-eastern Asia,East Asia & Pacific,South,0.7991,0.8035,0.8645,0.7293,69.20836554,2023,0.6920836554,4.8166,2023,9.0831,2023,0.6920836554,0.0931,0.1420,0.55304404903014,0.5560892171139,0.24605595096985997,0.24741078288609997,1.444912030789161,0.061000000000000054,-0.061000000000000054,0.7423,0.6734,0.7238,0.7130,112,1,1,1,,0.093092205078845996,0.32906160474259194,0.58740425846224453,116,0.2667,0.5573,92,0.2625,0.5552,92,0.2934,0.5708,92
TGO,Togo,Africa,Sub-Saharan Africa,Sub-Saharan Africa ,South,0.3920,0.4472,0.2474,0.4813,37.57020187,2023,0.3757020187,1.2282,2023,0.5736,2023,0.3757020187,0.0237,0.0090,0.14727519133039998,0.16801394276263998,0.24472480866960003,0.27918605723736,2.6616838617481724,0.19979999999999998,0.19979999999999998,0.6398,0.5464,0.4679,0.5470,163,1,1,1,,0.02373787449193179,0.10951450667800398,0.36584313140298685,147,0.0586,0.3129,138,0.0554,0.3085,139,0.0804,0.3386,138
SWZ,Eswatini,Africa,Sub-Saharan Africa,Sub-Saharan Africa ,South,0.6081,0.4557,0.7851,0.5836,61.33330154,2023,0.6133330154,2.7637,2023,0.2853,2023,0.6133330154,0.0534,0.0045,0.37296780666473994,0.27949585511777997,0.23513219333526,0.17620414488222003,1.6304356277769032,0.3294,-0.3294,0.5594,0.6056,0.6692,0.6100,142,1,1,1,,0.053415049449073347,0.23032642928156752,0.47802653959701197,133,0.0859,0.3736,126,0.0777,0.3644,126,0.0980,0.3860,126
SLE,Sierra Leone,Africa,Sub-Saharan Africa,Sub-Saharan Africa ,South,0.3042,0.3823,0.2585,0.2719,23.71360016,2023,0.23713600159999998,0.0023,2021,,,0.23713600159999998,,,0.07213677168672,0.09065709341167999,0.23206322831328005,0.29164290658832,4.216989378469811,0.12379999999999997,0.12379999999999997,0.6217,0.3678,0.4200,0.4580,184,1,1,0,HiTech_Pct missing or non-positive,4.4452948486763652e-05,0.0091274946955915426,0.17206730949426452,180,,,,,,,,,
BDI,Burundi,Africa,Sub-Saharan Africa,Sub-Saharan Africa ,South,0.2481,0.3146,0.0331,0.3966,7.172299862,2023,0.07172299862,0.0203,2023,1.3051,2023,0.07172299862,0.0004,0.0204,0.017794475957622,0.022564055365852,0.230305524042378,0.292035944634148,13.942529164155015,0.2815,0.2815,0.6458,0.3870,0.2965,0.4200,187,1,1,1,,0.00039234558881795744,0.0079409197127743684,0.15574930849160912,181,0.0101,0.1652,157,0.0093,0.1618,157,0.0211,0.1989,157
PAN,Panama,Americas,Latin America and the Caribbean,Latin America & Caribbean ,South,0.7298,0.6505,0.8523,0.6866,68.54851592,2023,0.6854851592,18.1341,2023,1.0005,2023,0.6854851592,0.3505,0.0156,0.50026706918416,0.44590809605959997,0.22953293081584003,0.2045919039404,1.4588207878447095,0.20179999999999998,-0.20179999999999998,0.8742,0.7233,0.8715,0.8200,57,1,1,1,,0.35048444050166117,0.49350274385697818,0.72214025932876935,79,0.2082,0.5820,87,0.1968,0.5739,86,0.2295,0.5963,87
MOZ,Mozambique,Africa,Sub-Saharan Africa,Sub-Saharan Africa ,South,0.2848,0.3959,0.0632,0.3952,19.94560051,2023,0.19945600509999997,0.1490,2023,2.7424,2023,0.19945600509999997,0.0029,0.0429,0.056805070252479994,0.07896463241908998,0.22799492974752,0.31693536758091,5.013636964696232,0.3327,0.3327,0.6096,0.4266,0.3778,0.4610,183,1,1,1,,0.0028797779671859932,0.031954429928840969,0.2367089665155109,173,0.0344,0.2411,152,0.0311,0.2351,152,0.0554,0.2717,152
SLV,El Salvador,Americas,Latin America and the Caribbean,Latin America & Caribbean ,South,0.5988,0.509,0.7526,0.5348,62.61989975,2023,0.6261989975,11.6272,2023,6.4040,2023,0.6261989975,0.2247,0.1001,0.37496795970299995,0.3187352897275,0.22383204029700002,0.19026471027250003,1.5969364435145077,0.24360000000000004,-0.24360000000000004,0.7919,0.5692,0.6778,0.6740,127,1,1,1,,0.22472318375882536,0.3750750152454787,0.58182011738896522,117,0.2696,0.5357,102,0.2514,0.5264,101,0.3106,0.5550,100
COD,Democratic Republic of the Congo,Africa,Sub-Saharan Africa,Sub-Saharan Africa ,South,0.2715,0.2067,0.1591,0.4487,18.96789932,2023,0.1896789932,0.0220,2023,0.1996,2023,0.1896789932,0.0004,0.0031,0.05149784665380001,0.03920664789444,0.22000215334620002,0.16749335210556,5.2720650986669195,0.0476,0.0476,0.6114,0.5063,0.3595,0.4810,180,1,1,1,,0.00042520211596034794,0.01607439270651646,0.20565615301373685,178,0.0107,0.1856,156,0.0105,0.1851,156,0.0186,0.2132,156
GNB,Guinea-Bissau,Africa,Sub-Saharan Africa,Sub-Saharan Africa ,South,0.3083,0.127,0.4902,0.3077,28.71240044,2023,0.2871240044,0.3104,2023,,,0.2871240044,,,0.08852033055652002,0.036464748558800004,0.21977966944347999,0.09053525144119999,3.4828157335353738,0.3632,-0.3632,0.6132,0.4150,0.4432,0.4830,179,1,1,0,HiTech_Pct missing or non-positive,0.005999215308822364,0.053423908683616468,0.27860981603114326,165,,,,,,,,,
TUN,Tunisia,Africa,Northern Africa,"Middle East, North Africa, Afghanistan & Pakistan",South,0.6935,0.5951,0.8357,0.6497,68.31552226,2021,0.6831552226,14.0830,2023,7.7011,2023,0.6831552226,0.2722,0.1204,0.4737681468731,0.4065456729692599,0.21973185312690005,0.18855432703074002,1.4637961724044648,0.24060000000000004,-0.24060000000000004,0.8348,0.6712,0.7001,0.7320,101,1,1,1,,0.27218733632134456,0.44495667086451129,0.64636532029262617,98,0.3209,0.5956,84,0.2996,0.5855,83,0.3553,0.6110,82
