Country,Shadow Economy
Nepal,51.0
Burkina Faso,43.8
Pakistan,35.0
Bangladesh,29.0
Morocco,27.0
Indonesia,23.8
Philippines,20.7
China,20.3
Iceland,7.6
South Korea,7.6
Germany,6.8
France,6.7
Japan,6.7
Finland,6.6
Norway,6.4
Netherlands,6.3
Denmark,5.9
Australia,5.7
Switzerland,5.1
Canada,4.5
